epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5446.62,0.66521,4.03249,0.98861,0.00962,0.05316,0.00684,0.00512,1.27281,5.72607,1.91361,0.00333309,0.00333309,0.00333309
2,10642.4,0.64919,2.27003,0.97156,0.01072,0.03623,0.00683,0.00522,1.25912,5.96579,1.95069,0.00653442,0.00653442,0.00653442
